id,terminal-name,shape-data
1,Anadolu Hisarı,POINT (29.0665429955074 41.0832877787348)
2,Anadolu Kavağı,POINT (29.0879039342982 41.1733962294432)
3,Arnavutköy,POINT (29.0434343511926 41.066777878158)
4,Ayvansaray,POINT (28.9448160080441 41.0408057805475)
5,Balat,POINT (28.9493324695503 41.0348382576887)
6,Bebek,POINT (29.04455074485 41.0763200601424)
7,Beykoz,POINT (29.0903133275983 41.1343110131553)
8,Beylerbeyi,POINT (29.0445421884284 41.0450375252611)
9,Beşiktaş - Kadıköy,POINT (29.0056554003696 41.039952741991)
10,Beşiktaş - Üsküdar,POINT (29.0073618373636 41.0410405036449)
11,Bostancı,POINT (29.0940577937453 40.9514859148814)
12,Burgazada,POINT (29.0706015671057 40.8811465680106)
13,Büyükada,POINT (29.1279760767551 40.8757720116918)
14,Büyükdere,POINT (29.046305302673 41.1607334722644)
15,Eminönü - Bosphorus,POINT (28.9740817119005 41.0179947208576)
16,Eminönü - Kadıköy,POINT (28.9751598562999 41.0175457022933)
17,Eminönü - Üsküdar,POINT (28.9762631592989 41.0171141458797)
18,Eminönü Haliç,POINT (28.9688757506819 41.0194989142109)
19,Eminönü Small Terminal,POINT (28.9731077113377 41.0182684959651)
20,Emirgan,POINT (29.0561305501776 41.1030605822108)
21,Eyüp,POINT (28.9378306667138 41.0473149622357)
22,Fener,POINT (28.9526642159711 41.0309808494826)
23,Hasköy,POINT (28.9490991610848 41.040583414696)
24,Haydarpaşa,POINT (29.0178289666261 40.9961785391853)
25,Heybeliada,POINT (29.1020486584584 40.8770724198762)
26,Kabataş,POINT (28.993601312465 41.0337070122782)
27,Kadıköy - Beşiktaş,POINT (29.0216222907795 40.9916827393621)
28,Kadıköy - Beşiktaş - Adalar,POINT (29.0217313841106 40.9917168809375)
29,Kandilli,POINT (29.0582283911513 41.0745622717617)
30,Kanlıca,POINT (29.0652582173725 41.10030965864)
31,Karaköy,POINT (28.9765707068979 41.0217608028593)
32,Kasımpaşa,POINT (28.9661732233785 41.0303755455709)
33,Kuzguncuk,POINT (29.0297691641306 41.0369024427848)
34,Küçüksu,POINT (29.0651156614268 41.0791765129044)
35,Kınalıada,POINT (29.0555378642424 40.9105737677384)
36,Ortaköy,POINT (29.0256855144551 41.0471764100195)
37,Paşabahçe,POINT (29.093198913167 41.1168170619071)
38,Rumeli Kavağı,POINT (29.0751996678947 41.1816276650096)
39,Sarıyer,POINT (29.0575846541708 41.1662693861718)
40,Sedef Adası,POINT (29.1443502762075 40.8538227160652)
41,Sütlüce,POINT (28.940683599652 41.0466380288752)
42,Yeni Kadıköy,POINT (29.0227098868849 40.9929933768951)
43,Yeniköy,POINT (29.0710605060644 41.1216401927574)
44,Çengelköy,POINT (29.0514175572131 41.0510321832829)
45,Çubuklu,POINT (29.0804399779341 41.1074643693258)
46,Çubuklu Car Ferry Terminal,POINT (29.0825008833801 41.108529054266)
47,Üsküdar,POINT (29.0149659917712 41.0277715044944)
48,İstinye,POINT (29.0613132273843 41.1132669129929)
49,İstinye Car Ferry Terminal,POINT (29.0573095161992 41.113481695621)
