year,line-name,n_trips
2020,Beşiktaş - KADIKÖY,26879
2020,KADIKÖY - KARAKÖY - Beşiktaş,13
2020,Eminönü - ÜSKÜDAR,28441
2020,ÜSKÜDAR - KARAKÖY - Eminönü,8737
2020,KADIKÖY - Eminönü,18408
2020,KADIKÖY - KARAKÖY,25658
2020,Kabataş - KADIKÖY - ADALAR - BOSTANCI,5879
2020,İstanbul - ADALAR,4542
2020,KADIKÖY - KARAKÖY - Eminönü,11156
2020,Bosphorus Gidiş Geliş (Eminönü - Beşiktaş  -KUZGUNCUK - Beylerbeyi - ÇENGELKÖY - ARNAVUTKÖY),523
2020,Bosphorus Gidiş Geliş (Eminönü - Beşiktaş - ORTAKÖY - Emirgan - Paşabahçe -BEYKOZ),613
2020,ÇENGELKÖY - Beşiktaş - Eminönü,1056
2020,ÜSKÜDAR - KARAKÖY - Kasımpaşa - FENER - BALAT - HASKÖY - AYVANSARAY - SÜTLÜCE - EYÜP,10549
2020,KADIKÖY - Emirgan (LALE Seferleri),0
2020,BOSTANCI - BÜYÜKADA - Heybeliada,1154
2020,Heybeliada - BÜYÜKADA,434
2020,BOSTANCI - ADALAR,3022
2020,BÜYÜKADA - BOSTANCI,1182
2020,BÜYÜKADA - KINALIADA (Ring),379
2020,BEYKOZ - Muhtelif Üsküdar. - Beşiktaş - Eminönü,669
2020,BEYKOZ - Muhtelif Üsküdar. - Eminönü,559
2020,A.HÝSARI - Muhtelif Üsküdar. - Eminönü,562
2020,ÇENGELKÖY - Beylerbeyi - Beşiktaş - Eminönü,1970
2020,Anadolu Kavağı - Rumeli Kavağı,11005
2020,ÇENGELKÖY - BEBEK - KANLICA - İstinye,4487
2020,Kabataş - Küçüksu - Beşiktaş,1691
2020,SARIYER - Muhtelif Bosphorus - Eminönü (SARIYER - İstinye - Emirgan - Beylerbeyi - KUZGUNCUK - Beşiktaş  - Eminönü),795
2020,BEYKOZ - Muhtelif Bosphorus - ÜSKÜDAR,557
2020,Küçüksu - İstinye,3925
2020,ADALAR - Beşiktaş,4001
2020,BÜYÜKADA - SEDEF ADASI,0
2020,KADIKÖY - Beşiktaş - İstinye - SARIYER,559
2020,Anadolu Kavağı - BEYKOZ - Paşabahçe - ÇUBUKLU - KANLICA - A.HÝSARI - ÇENGELKÖY - Beylerbeyi - ÜSKÜDAR KIYIYA PARALEL,4490
2020,RUMELÝ KAVAÐI - SARIYER - İstinye - ARNAVUTKÖY - Beşiktaş -Eminönü KIYIYA PARALEL,6993
2020,BOSTANCI - KARAKÖY - Kabataş,2781
