id,sensor-name,shape-data
1,AHL,POINT (40.993275000000004 28.817652777777777)
2,AKOM,POINT (41.1 28.966666666666665)
3,Aksaray,POINT (41.03333333333333 28.9)
4,Akşemsettin,POINT (41.094638888888895 28.921194444444446)
5,Alemdağ,POINT (41.041441666666664 29.273716666666665)
6,Alibahadır,POINT (41.18747222222222 29.214027777777776)
7,Arnavutköy,POINT (41.17480555555555 28.753591666666665)
8,Aşiyan ,POINT (41.080000000000005 29.05138888888889)
9,Başakşehir ,POINT (41.12328055555555 28.812572222222222)
10,Beykoz,POINT (41.131816666666666 29.13087777777778)
11,Beylerbeyi,POINT (41.04055555555556 29.041666666666668)
12,Büyükada,POINT (40.86666666666667 29.083333333333332)
13,Durusu,POINT (41.27438055555555 28.661105555555555)
14,Gümüşyaka,POINT (41.046388888888885 28.042222222222225)
15,Hacıosman,POINT (41.140477777777775 29.027627777777777)
16,Hadımköy,POINT (41.05 28.633333333333333)
17,Haliç,POINT (41.04481111111111 28.94247777777778)
18,Haramidere,POINT (41.00576944444445 28.67364166666667)
19,Ispartakule,POINT (41.059172222222216 28.69696666666667)
20,Kamiloba,POINT (41.05 28.433333333333334)
21,Kavacık,POINT (41.085 29.085833333333333)
22,Kavaklı,POINT (41.10030833333334 28.333152777777777)
23,Kayaşehir,POINT (41.06583333333333 28.769444444444442)
24,Kemerburgaz,POINT (41.17638888888889 28.878611111111113)
25,Kovaderesi,POINT (41.124625 28.16777777777778)
26,Kozyatağı,POINT (40.98027777777778 29.09611111111111)
27,Koşuyolu,POINT (41.00611111111111 29.022777777777776)
28,Kumburgaz,POINT (41.02861111111111 28.459722222222222)
29,Libadiye,POINT (41.02099166666667 29.074672222222222)
30,Mahmutbey,POINT (41.06366388888888 28.84851111111111)
31,Odayeri,POINT (41.233136111111115 28.845416666666665)
32,Olimpiyat,POINT (41.1 28.766666666666666)
33,Paşaköy,POINT (41.00921388888889 29.274055555555556)
34,Pendik,POINT (40.889519444444446 29.23710277777778)
35,Riva Tunel Güney,POINT (41.14293333333333 29.281463888888887)
36,Riva Tunel Kuzey,POINT (41.149033333333335 29.273113888888886)
37,RıdvanDedeoğlu,POINT (41.004488888888886 29.101572222222224)
38,S virajları,POINT (41.02620833333333 28.61442777777778)
39,Sabiha Gökçen,POINT (40.91451388888889 29.324986111111112)
40,Sakızağacı,POINT (40.97805555555556 28.885277777777777)
41,Sağmalcılar,POINT (41.04463333333333 28.892363888888887)
42,Servetbayramoğlu,POINT (40.876583333333336 29.38823888888889)
43,Silivri,POINT (41.07138888888889 28.278333333333332)
44,Subaşı,POINT (41.22897777777778 28.497275000000002)
45,Sultanbeyli,POINT (40.966944444444444 29.271666666666665)
46,Süreyyapaşa,POINT (40.92673333333333 29.122605555555555)
47,Tarlabaşı,POINT (41.033055555555556 28.974444444444444)
48,Terkos,POINT (41.31666666666667 28.666666666666668)
49,Tuzla Piyade okulu,POINT (40.83444444444444 29.326666666666668)
50,Uskumruköy,POINT (41.22614166666667 29.04318055555556)
51,Uğurmumcu,POINT (40.94766111111111 29.217138888888886)
52,Yavuz Sultan Selim,POINT (41.20666666666667 29.10438888888889)
53,Yıldız,POINT (41.05351944444444 29.008836111111112)
54,Zekeriyaköy,POINT (41.19128055555555 29.00634722222222)
55,Zincirlikuyu,POINT (41.06671388888889 29.013019444444446)
56,Çamlıca Tunel Güney,POINT (41.051361111111106 29.193775)
57,Çamlıca Tunel Kuzey,POINT (41.05087777777778 29.15904722222222)
58,Çanta,POINT (41.1 28.083333333333332)
59,Çatalca Gişeler,POINT (41.095 28.51222222222222)
60,Çavuşbaşı,POINT (41.083333333333336 29.15)
61,Çiftalan,POINT (41.234341666666666 28.91828611111111)
62,Ömerli,POINT (41 29.333333333333332)
63,Ümraniye,POINT (41.030277777777776 29.12087777777778)
64,İTÜ,POINT (41.09998055555556 29.026397222222222)
65,İstanbul Havalimanı,POINT (41.24611111111111 28.7375)
66,Şile,POINT (41.16593888888889 29.502083333333335)
67,Şile yolu ömerli,POINT (41.08833333333334 29.370833333333334)
