YIL;GÜZERGAH;TOPLAM SEFER ADETÝ
2020;BEÞÝKTAÞ - KADIKÖY;26.879
2020;KADIKÖY - KARAKÖY - BEÞÝKTAÞ;13
2020;EMÝNÖNÜ - ÜSKÜDAR;28.441
2020;ÜSKÜDAR - KARAKÖY - EMÝNÖNÜ;8.737
2020;KADIKÖY - EMÝNÖNÜ;18.408
2020;KADIKÖY - KARAKÖY;25.658
2020;KABATAÞ - KADIKÖY - ADALAR - BOSTANCI;5.879
2020;ÝSTANBUL - ADALAR;4.542
2020;KADIKÖY - KARAKÖY - EMÝNÖNÜ;11.156
2020;BOÐAZ GÝDÝÞ GELÝÞ (EMÝNÖNÜ - BEÞÝKTAÞ  -KUZGUNCUK - BEYLERBEYÝ - ÇENGELKÖY - ARNAVUTKÖY);523
2020;BOÐAZ GÝDÝÞ GELÝÞ (EMÝNÖNÜ - BEÞÝKTAÞ - ORTAKÖY - EMÝRGAN - PAÞABAHÇE -BEYKOZ);613
2020;ÇENGELKÖY - BEÞÝKTAÞ - EMÝNÖNÜ;1.056
2020;ÜSKÜDAR - KARAKÖY - KASIMPAÞA - FENER - BALAT - HASKÖY - AYVANSARAY - SÜTLÜCE - EYÜP;10.549
2020;KADIKÖY - EMÝRGAN (LALE SEFERLERÝ);0
2020;BOSTANCI - BÜYÜKADA - HEYBELÝADA;1.154
2020;HEYBELÝADA - BÜYÜKADA;434
2020;BOSTANCI - ADALAR;3.022
2020;BÜYÜKADA - BOSTANCI;1.182
2020;BÜYÜKADA - KINALIADA (RÝNG);379
2020;BEYKOZ - MUHTELÝF ÝSK. - BEÞÝKTAÞ - EMÝNÖNÜ;669
2020;BEYKOZ - MUHTELÝF ÝSK. - EMÝNÖNÜ;559
2020;A.HÝSARI - MUHTELÝF ÝSK. - EMÝNÖNÜ;562
2020;ÇENGELKÖY - BEYLERBEYÝ - BEÞÝKTAÞ - EMÝNÖNÜ;1.970
2020;A.KAVAÐI - R.KAVAÐI - SARIYER;11.005
2020;ÇENGELKÖY - BEBEK - KANLICA - ÝSTÝNYE;4.487
2020;KABATAÞ - KÜÇÜK SU - BEÞÝKTAÞ;1.691
2020;SARIYER - MUHTELÝF BOÐAZ - EMÝNÖNÜ (SARIYER - ÝSTÝNYE - EMÝRGAN - BEYLERBEYÝ - KUZGUNCUK - BEÞÝKTAÞ  - EMÝNÖNÜ);795
2020;BEYKOZ - MUHTELÝF BOÐAZ - ÜSKÜDAR;557
2020;KÜÇÜK SU - ÝSTÝNYE;3.925
2020;ADALAR - BEÞÝKTAÞ;4.001
2020;BÜYÜKADA - SEDEF ADASI;0
2020;KADIKÖY - BEÞÝKTAÞ - ÝSTÝNYE - SARIYER;559
2020;A.KAVAÐI - BEYKOZ - PAÞABAHÇE - ÇUBUKLU - KANLICA - A.HÝSARI - ÇENGELKÖY - BEYLERBEYÝ - ÜSKÜDAR KIYIYA PARALEL;4.490
2020;RUMELÝ KAVAÐI - SARIYER - ÝSTÝNYE - ARNAVUTKÖY - BEÞÝKTAÞ -EMÝNÖNÜ KIYIYA PARALEL;6.993
2020;BOSTANCI - KARAKÖY - KABATAÞ;2.781
